sentiment,sentence,lang
positive,"Die GeoSolutions-Technologie wird die GPS-Lösungen von Benefon nutzen , indem sie standortbasierte Suchtechnologien , eine Communitys-Plattform , ortsrelevante Multimedia-Inhalte und ein neues und leistungsfähiges kommerzielles Modell bereitstellt .",de
negative,"$ESI auf Tiefs, unter $1,50 bis $2,50 BK eine echte Möglichkeit",de
positive,"Für das letzte Quartal 2010 verdoppelte sich der Nettoumsatz von Componenta im gleichen Zeitraum des Vorjahres auf 131 Mio EUR von 76 Mio EUR , während er aus einem Verlust vor Steuern in Höhe von 7 Mio EUR auf ein Null-Vorsteuerergebnis umgestellt wurde .",de
neutral,Nach Angaben der Finnisch-Russischen Handelskammer sind alle großen Bauunternehmen Finnlands in Russland tätig .,de
neutral,"Die schwedische Buyout-Firma hat ihre restlichen 22,4 Prozent-Beteiligung verkauft , fast achtzehn Monate nach der Übernahme des Unternehmens in Finnland .",de
positive,"$SPY wäre nicht überrascht, ein grünes Ende zu sehen",de
negative,Shell's $70 Milliarden BG Deal trifft Aktionär Skeptizismus,de
negative,"SSH COMMUNICATIONS SECURITY CORP STOCK EXCHANGE RELEASE OKTOBER 14 , 2008 um 14:45 Uhr Das Unternehmen aktualisiert seinen Gesamtjahresausblick und schätzt seine Ergebnisse für das Gesamtjahr auf Verlust.",de
positive,Der Nettoumsatz von Kone stieg in den ersten neun Monaten 2008 um rund 14 % gegenüber dem Vorjahr .,de
neutral,Das Kaufhaus Stockmann wird eine Gesamtfläche von über 8.000 Quadratmetern haben und die Investition von Stockmann in das Projekt wird ein Preisschild von rund 12 Millionen Euro haben .,de
positive,Die Auflageeinnahmen sind 2008 in Finnland um 5 % und in Schweden um 4 % gestiegen .,de
negative,$SAP Q1 enttäuscht als #Software-Lizenzen herunter. Echtes Problem? #Cloud-Wachstumspfade $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,de
positive,"Die Unterteilung erzielte im vergangenen Jahr Umsatzerlöse von EUR 480,7 Mio . EUR 414,9 Mio . im Jahr 2008 und operatives Ergebnis von EUR 44,5 Mio . EUR 7,4 Mio .",de
neutral,Viking Line hat einige Dienste storniert .,de
neutral,Ahlstrom Corporation STOCK EXCHANGE ANNOUNCEMENT 7.2.2007 at 10.30 Insgesamt wurden 56.955 neue Aktien der Ahlstrom Corporation mit Optionsrechten im Rahmen der Aktienoptionsprogramme I 2001 und II 2001 gezeichnet .,de
positive,$FB wurde grün am Tag,de
positive,$MSFT SQL Server Umsatz wuchs zweistellig mit SQL Server Premium Umsatz steigt über 30% http://stks.co/ir2F,de
neutral,"Laut L+ñnnen Tehtaat's CEO Matti Karppinen, das Unternehmen zielt darauf ab, Fischprodukte an seine Kunden einen Tag früher zu liefern, als es derzeit tut.",de
neutral,Die Aktie des Unternehmens wird auf NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS notiert .,de
neutral,Elcoteq SE ist an der Nasdaq OMX Helsinki Ltd. notiert.,de
neutral,"Zwei dieser Verträge sind für Drehscheibe Anode Vibrocompactors, die an Gansu Hualu Aluminium Co Ltd und einen anderen unbenannten Kunden geliefert werden.",de
positive,"Aviva, Friends Life Top-Prognosen vor 5,6 Milliarden Pfund Fusion",de
neutral,"Statt auf einem Softdrink basierend zu sein, wie es üblich ist, wird das Teho Energydrink mit frischem Wasser hergestellt.",de
neutral,"Das Unternehmen plant , das Fachpersonal der Einheit auf mehrere Dutzend zu erhöhen -- abhängig von der Marktsituation im Jahr 2010 .",de
neutral,Das Unternehmen schloss im vergangenen Jahr mit einem Umsatz von rund vier Millionen Euro .,de
positive,"Shire CEO Schritte nach oben Antrieb, um Baxalta Board sprechen",de
positive,Costco: Ein Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,de
neutral,"Das fünfgeschossige, ökoeffiziente Gebäude wird eine Bruttogeschossfläche von etwa 15.000 qm haben. Es wird auch Wohnungen umfassen.",de
neutral,"Der erste Teil der Cinema Series endet mit einem Profil des finnischen Erfinders Olavi Linden , dessen persönliche künstlerische Reise und Arbeit bei Fiskars zu Dutzenden von Designpreisen geführt hat .",de
neutral,Alle sind willkommen.,de
positive,"Stockmann und das schwedische Sektorunternehmen AB Lindex schlossen am 30 . September 2007 eine Vereinbarung , wonach Stockmann oder eine hundertprozentige Tochtergesellschaft davon ein öffentliches Angebot für alle ausgegebenen Aktien von Lindex machen wird .",de
neutral,"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Der Kapitalmarkttag von Huhtamaki für institutionelle Anleger und Analysten findet in Espoo , 16. September 2008 , ab 13.30 Uhr finnischer Zeit statt .",de
positive,"`` Wir freuen uns, Tapeks Noma in Cramo Gruppe begrüßen .",de
neutral,"- Der Gewinn vor Steuern betrug 105,9 82,7 Mio EUR .",de
positive,Royal Dutch Shell zu kaufen BG Gruppe für fast $70 Milliarden,de
neutral,"FinancialWire tm ist kein Pressemitteilungsdienst und erhält keine Entschädigung für seine Nachrichten , Meinungen oder Distributionen .",de
neutral,"Die ASSA ABLOY Kaupthing Bank gab eine „neutrale"" Empfehlung und ein Aktienkursziel von 174 Kronen $ 24,7 - 19 Euro auf den schwedischen Schlosser Assa Abloy AB .",de
positive,"Der Posten beinhaltete Umstrukturierungskosten in Höhe von 1 ,6 Mio EUR , während sie ein Jahr zuvor 13,1 Mio EUR betrugen. Verdünnte EPS beliefen sich auf EUR0 ,3 gegenüber einem Verlust je Anteil von EUR 0,1 .",de
neutral,"Im Jahr 2005 erzielte die Bank einen Nettogewinn von 8,2 Mio . Lt .",de
